gene_id,Mmus_C57-6J_KDN_FLT_Rep1_M23,Mmus_C57-6J_KDN_FLT_Rep2_M24,Mmus_C57-6J_KDN_FLT_Rep3_M25,Mmus_C57-6J_KDN_FLT_Rep4_M26,Mmus_C57-6J_KDN_FLT_Rep5_M27,Mmus_C57-6J_KDN_FLT_Rep6_M28,Mmus_C57-6J_KDN_GC_Rep1_M33,Mmus_C57-6J_KDN_GC_Rep2_M34,Mmus_C57-6J_KDN_GC_Rep3_M35,Mmus_C57-6J_KDN_GC_Rep4_M36,Mmus_C57-6J_KDN_GC_Rep5_M37,Mmus_C57-6J_KDN_GC_Rep6_M38
ENSMUSG00000049119,137.2682696,186.3583204,170.4026002,141.3701802,112.1280842,164.2484203,147.5637137,221.1061347,109.1155931,201.3949571,178.159251,145.2782356
ENSMUSG00000049122,7.27755999,3.832029148,2.200614378,6.793517416,5.419430952,7.729844751,8.059738206,9.709315645,6.340855894,0.837171489,11.18336406,8.452843144
ENSMUSG00000049124,58.31200036,56.41170692,49.32125627,44.39175244,45.61398925,46.04857323,33.16804451,47.9929163,50.3101,74.20641673,45.18791374,52.11669275
ENSMUSG00000049128,14.81311404,16.71976682,18.11448325,4.119656773,8.128159512,12.99185067,6.335924552,4.089845915,7.38597398,14.61644354,1.980803638,7.053127677
ENSMUSG00000049130,45.08709457,52.60886255,54.78606399,79.54782641,115.3540357,55.5531117,39.71339973,37.81047059,38.28832754,56.94388163,28.2147615,105.4595693
ENSMUSG00000049134,366.9670607,205.439938,298.168506,178.5456502,346.1655693,266.0009294,335.0975903,215.5799863,208.25506,315.4181485,284.3734469,273.5153481
ENSMUSG00000049148,38.86396839,42.14959802,48.24456385,32.54375901,53.29691283,47.59311689,47.01076667,53.75974167,44.034872,26.10717203,36.97496764,49.99047231
ENSMUSG00000049152,16653.19956,11780.96003,17624.75488,16101.88305,15084.99905,11844.00958,16350.91445,12544.61359,16319.82294,15131.62211,21203.00751,12797.88951
ENSMUSG00000049164,998.7891476,1054.700449,996.0977649,1007.244429,1007.80534,945.6193387,963.7956648,1054.215205,948.7239094,916.5674663,974.3645183,887.8180588
ENSMUSG00000049173,7.413357345,6.692157239,4.119478655,8.233943246,9.017615648,3.999809236,10.55443173,9.208541619,4.219283922,12.67161366,8.909880271,17.12285217
ENSMUSG00000049176,138.2261118,149.3473453,154.7496125,45.62036287,113.8308408,141.0023104,186.7163227,220.9763028,99.80640935,144.7538182,167.6173371,97.5026404
ENSMUSG00000049184,112.9059022,170.4379224,195.5486128,143.5337321,175.4567266,173.9877569,165.9080346,152.2001908,159.2955226,170.1504822,163.8779735,201.4134986
ENSMUSG00000049191,309.9301468,254.6834328,342.0349675,355.6241365,418.5451536,308.1642937,259.6375923,333.9419075,392.124492,393.2135099,434.9258457,483.1480393
ENSMUSG00000049225,342.0203886,355.6341859,445.3581559,380.6974194,412.3923648,459.5329793,491.7317802,475.7044687,393.2887718,383.0373108,464.712858,332.4139348
