"","logFC","logCPM","LR","PValue","FDR"
"ENSMUSG00000026077",-1.36214477002728,3.57632759444242,79.7249677106114,4.30328197188755e-19,5.85805774833052e-15
"ENSMUSG00000007872",0.886383314453116,5.52539405903252,76.7696909396089,1.92103312045505e-18,1.30755119343773e-14
"ENSMUSG00000021775",0.953705455874983,6.24196145591041,63.0527009503879,2.01249225711249e-15,9.1320190320241e-12
"ENSMUSG00000002250",-0.828280584980558,5.26612400727094,62.4675356820322,2.70873171842889e-15,9.2184912207431e-12
"ENSMUSG00000059824",2.2593712570819,4.56176276320481,57.987414875709,2.638000859466e-14,7.18222113998214e-11
"ENSMUSG00000074715",-1.98951679906558,3.80529254191097,47.0344966063045,6.97481996135193e-12,1.5824704022314e-08
"ENSMUSG00000027875",1.72371292952279,3.99495203891773,38.2606643495453,6.18978745594943e-10,8.62221716007057e-07
"ENSMUSG00000038393",0.770498937172425,9.39667373757055,38.2390293849107,6.25879632714882e-10,8.62221716007057e-07
"ENSMUSG00000020889",0.789892208320567,6.34677307407993,38.2337505322527,6.27575081652239e-10,8.62221716007057e-07
"ENSMUSG00000038224",-0.692877698559665,5.18563512108902,38.2157807440533,6.33381118054108e-10,8.62221716007057e-07
"ENSMUSG00000030256",1.19023955297843,2.91592712880462,36.6493683092127,1.41404831901712e-09,1.74994906970728e-06
"ENSMUSG00000055116",-0.973159170564154,3.98388867864638,36.2008494734395,1.77992952341177e-09,2.01918171685037e-06
"ENSMUSG00000031167",0.606434689996079,5.66256436699768,33.1332512168111,8.60544409553628e-09,9.01122388250272e-06
"ENSMUSG00000028957",1.26392792921426,3.87027867554193,32.5029871430247,1.19009465800199e-08,1.15719704138436e-05
"ENSMUSG00000022389",0.710687322895953,6.98172927836737,31.8621881884814,1.65507856937281e-08,1.50203897099147e-05
"ENSMUSG00000032758",-1.40852552787909,11.2979568991161,31.5509001101382,1.94280300403897e-08,1.65296108087391e-05
"ENSMUSG00000020653",0.89002464744942,4.82346432102006,31.1476777010641,2.39125267643271e-08,1.91483074613403e-05
"ENSMUSG00000034450",1.92627591205751,0.698739210400201,30.3656747737564,3.57803908633855e-08,2.70599144901815e-05
"ENSMUSG00000021135",-1.17310631728431,2.63122730387851,27.906820817354,1.27300226213509e-07,9.1207262076026e-05
